Dog breeds,English name,summary,Origins,Lifetime,Weight range,Shoulder height range,Character key words,Precautions for feeding,Common health issues,Grouping,body shape,training,Hair shedding,Sports needs,Is it appropriate to get along with children
Pugs (yellow brown),Pug (Fawn),"The yellow-brown fur variant is the most common Pugs, with a lively and friendly personality.",China,12-15 years,6-8Kg,25-28cm,"Lively, family, docile",1. Avoid high-temperature environments to prevent heatstroke; 2-Regularly clean the ear canal to prevent infection. 3 Eat light and prevent tear stains,"Short nose syndrome, tear stains, hip dysplasia",toy,small,3,2,2,Yes
Chinese Sharpi Dog (Bone Beak),Chinese Shar-Pei (Bone Mouth),"The original breed of the Sharpi dog has a pointed mouth, fewer skin wrinkles, and a braver personality.",China,10-12 years,16-25Kg,46-51cm,"Brave, loyal, vigilant",1. 1 hour of exercise per day; 2-Brush short hair once a week. 3 Clean the skin regularly to prevent infection,"Skin infection, hip dysplasia, eyelid inversion",NON-sporting,medium,2,2,3,No
Chinese Sharpi Dog (meat mouth),Chinese Shar-Pei (Meat Mouth),Modern-bred Sharpi dogs have more skin wrinkles and a more gentle personality.,China,8-Ten years,18-27Kg,46-51cm,"Docile, loyal, independent",1. 1 hour of exercise per day; 2. Clean skin wrinkles daily; 3. Regularly check your eyes to prevent inversion of the eyelids,"Skin infection, eyelid inversion, hip dysplasia",NON-sporting,medium,2,2,2,No
Pine Lion Dog (red),Chow Chow (Red),The most common variant of the Pine Lion Dog has a red coat and a stable and independent personality.,China,9-15 years,20-32Kg,46-56cm,"Steady, independent, loyal",1. 1.5 hours of exercise per day; 2-Brush the thick coat three times a week. 3 Early socialization to avoid apathy,"hip dysplasia, thyroid disease, eye disease",NON-sporting,medium,2,5,3,No
Pine Lion Dog (Cream),Chow Chow (Cream),The cream-colored fur variant has a similar personality to the red variant and appears more gentle.,China,9-15 years,20-32Kg,46-56cm,"Docile, loyal, independent",1. 1.5 hours of exercise per day; 2-Brush the white coat 4 times a week. 3 Pay attention to skin care and prevent infection,"hip dysplasia, skin allergies, thyroid disease",NON-sporting,medium,2,5,3,No
Akita dog (red),Akita (Red),"The most common variant of the Japanese Akita dog, with a red coat and a loyal and brave personality.",Japan,10-13 years,34-54Kg,61-71cm,"Loyalty, bravery, vigilance",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 .Strict training to avoid aggression,"hip dysplasia, thyroid disease, progressive retinal atrophy",working,large,3,4,4,No
Akita Dog (White),Akita (White),The white fur variant has a similar personality to the red variant and is more elegant.,Japan,10-13 years,34-54Kg,61-71cm,"Graceful, loyal, steady","1. 2 hours of exercise per day; 2-Brush the white coat twice a week. 3 Early socialization, adaptation to the family","Poor hip development, poor elbow development, skin problems",working,large,3,4,4,No
Shiba Inu (Achishiba),Shiba Inu (Red),The most common variant of Shiba Inu has a red coat and a lively and independent personality.,Japan,12-15 years,6-10Kg,35-41cm,"Lively, independent, loyal",1. 1.5 hours of exercise per day; 2-Brush the coat 1-2 times a week. 3 Use positive methods in training to avoid stubbornness,"hip dysplasia, cataracts, thyroid disease",NON-sporting,small,3,3,3,Yes
Shiba Inu (Black Shiba),Shiba Inu (Black & Tan),"Black-brown Shiba Inu, with a similar personality to Red Shiba, appears more stable.",Japan,12-15 years,6-10Kg,35-41cm,"Steady, loyal, lively",1. 1.5 hours of exercise per day; 2-Brush the coat 1-2 times a week. 3 Regularly check the skin to prevent allergies,"hip dysplasia, skin allergies, eye diseases",NON-sporting,small,3,3,3,Yes
Shiba Inu (White Shiba),Shiba Inu (White),"White-coated Shiba Inu, with a gentle personality and a relatively small number of relatives.",Japan,12-15 years,6-10Kg,35-41cm,"Docile, family, lively",1. 1.5 hours of exercise per day; 2-Brush the white coat once a week. 3 Pay attention to sun protection and protect the skin,"hip dysplasia, cataracts, skin problems",NON-sporting,small,3,3,3,Yes
The Hokkaido Dog,Hokkaido,"Japanese native dog, medium size, thick fur, brave and loyal personality.",Japan,12-15 years,20-30Kg,45-55cm,"Brave, loyal, vigilant",1. 2 hours of exercise per day; 2-Brush the thick coat twice a week. 3. Adapt to the cold and prevent heatstroke in summer,"hip dysplasia, cataracts, thyroid disease",working,medium,3,4,4,No
A-fi dog,Kai Ken,"Japanese native dog, tiger-striped fur, brave and independent personality, good at hunting.",Japan,12-15 years,11-18Kg,46-58cm,"Brave, independent, loyal",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Strict training to establish obedience,"hip dysplasia, eye diseases, skin problems",hound,medium,3,2,4,No
Jizhou Dog,Kishu Ken,"Japanese native dog, white coat, steady and loyal personality, good at hunting.",Japan,12-15 years,14-27Kg,43-55cm,"Steady, loyal, brave","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Early socialization, adaptation to the family","hip dysplasia, cataracts, thyroid disease",hound,medium,3,2,4,No
Four-country dog,Shikoku,"Japanese native dog, sesame-colored fur, lively and brave personality, good at hunting.",Japan,12-15 years,15-20Kg,46-52cm,"Lively, brave, loyal",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Focus on social training and avoid being timid,"hip dysplasia, eye diseases, skin allergies",hound,medium,3,2,4,No
Chihuahua (short hair),Chihuahua (Smooth Coat),"The smallest dog breed in the world, short hair, lively and clingy personality.",Mexico,12-20 years,1-3Kg,15-23cm,"Lively, clingy, brave",1. 30 minutes of light exercise per day; 2-Brush short hair once a week. 3 Keep warm and avoid cold,"Patellar dislocation, tracheal collapse, hypoglycemia",toy,small,3,1,1,No
Chihuahua (long hair),Chihuahua (Long Coat),"The long-haired variant has a soft coat and a similar personality to the short-haired variant, making it more elegant.",Mexico,12-20 years,1-3Kg,15-23cm,"Graceful, clingy, lively",1. 30 minutes of exercise per day; 2-Brush the long hair three times a week to prevent knotting. 3. Avoid falling from heights and protect your body,"Patellar dislocation, cataract, hypoglycemia",toy,small,3,3,1,No
Yorkshire Terrier (Gold),Yorkshire Terrier (Golden),"Golden coat Yorkshire, lively and clingy personality, cute appearance.",United Kingdom,12-15 years,2-3Kg,20-23cm,"Lively, clingy, smart",1. 30 minutes of indoor exercise every day; 2-Daily grooming of long hair to prevent knotting. 3. Regularly trim hair for easy care,"Patellar dislocation, tracheal collapse, periodontal disease",terrier,small,4,5,2,Yes
Yorkshire terrier (steel blue),Yorkshire Terrier (Steel Blue),The steel blue and gold color scheme is the standard Yorkshire wool color.,United Kingdom,12-15 years,2-3Kg,20-23cm,"Smart, lively, loyal",1. 30 minutes of exercise every day; 2-Wipe the eyes daily to prevent tear stains. 3 Regularly clean the ear canal to prevent infection,"Patellar dislocation, tear marks, skin allergies",terrier,small,4,5,2,Yes
Maltese dog,Maltese,"Maltese small toy dog, with a snow-white and silky fur, and a gentle and elegant personality.",Malta,12-15 years,2-4Kg,20-25cm,"Graceful, docile, clingy",1. 30 minutes of indoor interaction every day; 2-Brush the coat daily to keep it white. 3 Regularly trim hair to prevent knotting,"Patellar dislocation, tracheal collapse, tear marks",toy,small,4,1,1,Yes
Shih Dog (Tricolor),Shih Tzu (Tricolor),The tricolor-coated Shih Dog has a gentle and friendly personality and a gorgeous appearance.,China,12-14 years,4-7Kg,23-27cm,"Docile, family, lively",1. 30 minutes of light exercise per day; 2-Daily grooming to prevent knotting. 3 Clean the face regularly to prevent tear stains,"Patellar dislocation, dacryocystitis, kidney disease",toy,small,3,5,2,Yes
Shih Dog (Gold),Shih Tzu (Gold),"The golden fur variant has a similar personality to the tricolor variant, making it more noble.",China,12-14 years,4-7Kg,23-27cm,"Nobility, meekness, loyalty",1. 30 minutes of exercise per day; 2-Brush the coat three times a week. 3 Eat light and prevent tear stains,"Patellar dislocation, eye disease, skin allergies",toy,small,3,5,2,Yes
Lasa Dog,Lhasa Apso,"Xizang is an ancient breed of dog, with thick and long fur, and an independent and vigilant personality.",China Xizang,12-15 years,6-8Kg,25-28cm,"independence, vigilance, loyalty",1. 30-minute walk every day; 2-Brush long hair four times a week to prevent knotting. 3 Pay attention to obedience training and correct stubbornness,"Poor hip development, eye disease, kidney problems",NON-sporting,small,3,5,2,Yes
The Xizang stem,Xizang Terrier,"The Xizang terrier, with thick fur and gentle personality, is a temple companion dog.",China Xizang,12-15 years,8-14Kg,35-41cm,"Docile, family, smart",1. 1 hour of exercise per day; 2-Brush the thick coat three times a week. 3 Regularly trim your hair to keep it clean,"hip dysplasia, cataracts, skin allergies",NON-sporting,small,4,4,3,Yes
The Xizang Hound,Xizang Spaniel,"Xizang is a small dog with a lively and clever personality, and is a companion dog in the temple.",China Xizang,12-15 years,4-7Kg,25-28cm,"Smart, lively, loyal",1. 30 minutes of exercise per day; 2-Brush the coat twice a week. 3 Pay attention to social training and avoid being timid,"Patellar dislocation, cataract, eye disease",toy,small,4,3,2,Yes
Beijing Dog (Jingba),Pekingese,"Ancient Chinese court dog, with a flat face and a proud and loyal personality.",China,12-15 years,3-6Kg,15-23cm,"proud, loyal, independent",1. Avoid vigorous exercise to prevent heatstroke; 2. Cleans facial wrinkles daily; 3 Control weight and reduce joint pressure,"Short nose syndrome, patellar dislocation, heart disease",toy,small,2,4,1,No
Japan,Japanese Chin,"An ancient Japanese toy dog, with an elegant and proud personality, resembling a Jingba.",Japan,12-15 years,2-4Kg,20-27cm,"Elegance, pride, and cleverness",1. 30 minutes of light exercise per day; 2-Avoid vigorous exercise to prevent hypoxia. 3 Clean the face regularly to prevent tear stains,"Patellar dislocation, tracheal collapse, eye disease",toy,small,3,2,1,No
King Charles Beagle (Tricolor),Cavalier King Charles Spaniel (Tricolor),"Three-color fur variant, gentle and clingy personality, is an excellent companion dog.",United Kingdom,10-14 years,5-8Kg,30-33cm,"Docile, clingy, cheerful",1. 1 hour of light exercise per day; 2-Regularly check the heart to prevent genetic diseases. 3 Eat light and prevent ear infections,"Mitral heart disease, patellar dislocation, eye disease",toy,small,5,2,3,Yes
King Charles Beagle (Blenheim),Cavalier King Charles Spaniel (Blenheim),Blenheim (brown-white) is the most common color of the King Charles Beagle.,United Kingdom,10-14 years,5-8Kg,30-33cm,"Cheerful, family, gentle","1. 1 hour of exercise per day; 2-Brush the coat once a week. 3. Regularly check the heart, which is a common disease of this species","Mitral heart disease, ear infection, cataracts",toy,small,5,2,3,Yes
United Kingdom Toy Sandpiper Dog,English Toy Spaniel,"United Kingdom small toy dog, quiet and gentle in character, small in size.",United Kingdom,10-14 years,4-6Kg,25-28cm,"quiet, docile, loyal",1. 30-minute walk every day; 2-Avoid high-temperature environments to prevent heatstroke. 3 Regularly clean the ear canal to prevent infection,"Short nose syndrome, patellar dislocation, heart disease",toy,small,4,2,2,Yes
Brussels Griffin Dog (Brigid),Brussels Griffon (Wirehaired),The hairy variant has a unique beard on the face and a playful appearance.,Belgium,12-15 years,3-6Kg,18-22cm,"Smart, clingy, lively",1. 30 minutes of light exercise per day; 2 .Broom the bristles twice a week; 3 Puppies pay attention to low blood sugar,"Patellar dislocation, tracheal collapse, eye disease",toy,small,4,2,2,Yes
Brussels Griffin (short hair),Brussels Griffon (Smooth),Short-haired variants have a similar personality to stiff-haired variants and are easier to care for.,Belgium,12-15 years,3-6Kg,18-22cm,"Lively, family, smart",1. 30 minutes of exercise every day; 2-Brush short hair once a week. 3 Avoid high-altitude jumps and protect your joints,"Patellar dislocation, cataracts, skin allergies",toy,small,4,1,2,Yes
Habana Dog,Havanese,Cuba small toy dog with soft and fluffy fur and a clingy personality.,Cuba,14-16 years,3-7Kg,20-28cm,"Docile, clingy, cheerful",1. 30 minutes of daily interactive exercise; 2-Brush long hair three times a week to prevent tangling. 3 Regularly clean the ear canal to prevent infection,"Patellar dislocation, cataracts, skin allergies",toy,small,5,3,2,Yes
The Enrique Bologna Dog,Bolognese,"Italian ancient toy dog, with pure white and fluffy fur, quiet and gentle personality.",Italy,12-14 years,3-6Kg,25-30cm,"quiet, loyal, docile","1. 20 to 30 minutes of light exercise per day; 2-Brush the coat three times a week to keep it white. 3. Eat light, prevent tear stains","Patellar dislocation, dacryocystitis, joint dysplasia",toy,small,4,2,1,Yes
butterfly dog,Papillon,"A small French toy dog with ears like butterfly wings, and a lively and intelligent personality.",France,12-16 years,3-5Kg,20-28cm,"Lively, smart, loyal","1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3. Use positive methods during training, strong learning ability","Patellar dislocation, cataracts, skin allergies",toy,small,5,2,3,Yes
Butterfly dog (dropping ears),Phalene,"The butterfly dog has a similar personality to the upright-eared variant, and is more gentle.",France,12-16 years,3-5Kg,20-28cm,"Docile, lively, smart",1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3 Clean your ears regularly to prevent infection,"Patellar dislocation, ear infection, eye disease",toy,small,5,2,3,Yes
Pomeranian (orange),Pomeranian (Orange),"The most common Pomeranian fur color, lively and active personality, and cute appearance.",Germany,12-16 years,1.5-3.5Kg,18-22cm,"Lively, active, clingy","1. 30 minutes of light exercise per day; 2-Brush the thick coat twice a week. 3 Pay attention to heart health, this species is prone to heart disease","Heart disease, patellar dislocation, tracheal collapse",toy,small,3,4,2,Yes
Pomeranian (white),Pomeranian (White),The white fur variant has a similar personality to the orange variant and is more elegant.,Germany,12-16 years,1.5-3.5Kg,18-22cm,"Graceful, clingy, lively",1. 30 minutes of exercise every day; 2-Brush the white coat three times a week. 3. Regularly trim hair to maintain shape,"Heart disease, cataracts, skin allergies",toy,small,3,4,2,Yes
Pomeranian (Black),Pomeranian (Black),"Black fur variant, calm personality, few in number.",Germany,12-16 years,1.5-3.5Kg,18-22cm,"Steady, loyal, lively",1. 30 minutes of exercise per day; 2-Brush the coat twice a week. 3 Pay attention to sun protection and protect the skin,"Heart disease, patellar dislocation, skin problems",toy,small,3,4,2,Yes
silver fox dog,Japanese Spitz,"Japanese small dog, with thick snow-white fur, lively and affectionate personality.",Japan,10-14 years,5-10Kg,30-38cm,"Lively, family, loyal",1. 1 hour of exercise per day; 2-Brush the thick coat three times a week. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, cataracts, skin allergies",NON-sporting,small,3,4,3,Yes
American Eskimo Dog (toy type),American Eskimo Dog (Toy),"The smallest American Eskimo dog, with a cute and clingy personality.",United States,12-15 years,2.5-4.5Kg,23-30cm,"Sticky, lively, smart",1. 30 minutes of exercise per day; 2-Brush the coat twice a week. 3 Give enough attention to avoid separation anxiety,"Patellar dislocation, cataracts, dental problems",NON-sporting,small,4,4,2,Yes
Curly-haired Bichon,Bichon Frise,A small French toy dog with a curly white coat and a gentle and lively personality.,France,12-15 years,3-5Kg,23-30cm,"Docile, lively, family",1. 1 hour of exercise per day; 2 .Broom the curly coat twice a week; 3. Regularly trim hair to maintain shape,"Patellar dislocation, cataracts, skin allergies",toy,small,4,1,2,Yes
Cotton Veil Dog,Coton de Tulear,"Madagascar small dog, with a soft coat like cotton, and a gentle and friendly personality.",Madagascar,14-16 years,4-6Kg,25-30cm,"Docile, family, lively",1. 1 hour of exercise per day; 2-Brush soft fur three times a week. 3 Clean your eyes regularly to prevent tear stains,"Patellar dislocation, cataracts, skin allergies",toy,small,4,3,2,Yes
Roqin Dog,Lowchen,"German small toy dog with long and soft fur, lively and intelligent personality.",Germany,12-14 years,4-8Kg,25-33cm,"Lively, smart, loyal",1. 1 hour of exercise per day; 2 .Broom long hair three times a week; 3. Regularly trim hair to maintain a unique look,"Patellar dislocation, cataracts, skin allergies",toy,small,4,4,3,Yes
Monkey-faced dog,Affenpinscher,A small German terrier toy dog with a monkey-like face and a lively and clever personality.,Germany,12-15 years,3-4Kg,23-29cm,"Smart, lively, brave","1. 30 minutes of daily interactive exercise; 2-Brush the coat twice a week. 3 Correct the habit of calling love, focus on training","Patellar dislocation, periodontal disease, joint dysplasia",toy,small,4,2,3,Yes
silk hair stem,Silky Terrier,"The Australian small terrier has a silky and soft fur, and a lively and agile personality.",Australia,12-15 years,4-6Kg,23-26cm,"Smart, lively, loyal",1. 1 hour of light exercise per day; 2-Brush the silk coat three times a week. 3. Avoid conflicts with large dogs and protect yourself,"Patellar dislocation, hypoglycemia, skin allergies",terrier,small,4,1,3,Yes
The Australian Sterling,Australian Terrier,"Australian small terrier, with coarse and hard fur, lively and brave personality.",Australia,12-15 years,5-7Kg,25-28cm,"Lively, brave, loyal",1. 1.5 hours of exercise per day; 2-Brush the coarse and hard coat twice a week. 3 Early socialization to avoid timidity,"Patellar dislocation, cataracts, skin allergies",terrier,small,4,3,3,Yes
American hairless stem,American Hairless Terrier,"This is a hairless dog bred in the United States, with smooth skin and suitable for raising allergic individuals.",United States,12-16 years,5-8Kg,28-38cm,"Lively, family, clever",1. 30 minutes of light exercise per day; 2-Regularly apply skincare products to protect the skin. 3 Keep warm in winter and sun protection in summer,"Skin allergies, sunburn, and poor joint development",terrier,small,4,1,2,Yes
Peru Hairless Dog (small),Peruvian Inca Orchid (Small),"A small Peruvian hairless dog with a gentle and independent personality, suitable for apartment breeding.",Peru,12-16 years,4-8Kg,25-40cm,"Docile, independent, clever","1. 1 hour of exercise per day; 2-Sun protection and moisturizing for the skin, preventing damage; 3 Focus on social training and adapt to the environment","Sunburn, sensitive stomach, joint problems",NON-sporting,small,3,1,3,Yes
Mexican hairless dog (toy type),Xoloitzcuintli (Toy),The smallest Mexican hairless dog with a steady and loyal personality.,Mexico,13-17 years,4-8Kg,25-35cm,"Steady, loyal, independent","1. 30 minutes of exercise per day; 2-Skin cleansing and moisturizing, sun protection and anti-freeze; 3 Regularly check the heart to prevent diseases","Skin problems, heart disease, gastrointestinal sensitivity",NON-sporting,small,3,1,2,Yes
Chinese Crested Dog,Chinese Crested,Chinese hairless dogs have hair on their head and no hair on their bodies. They have a lively and friendly personality.,China,13-18 years,2-5Kg,23-33cm,"Lively, family, smart","1. 30 minutes of light exercise per day; 2-Sun protection and moisturizing for the skin, preventing damage; 3 Clean the skin regularly to prevent infection","Skin allergies, sunburn, tooth problems",toy,small,4,1,2,Yes
Chinese Crested Dog (Puff),Chinese Crested (Powderpuff),"The whole-body haired variant has a similar personality to the hairless variant, making it even more adorable.",China,13-18 years,2-5Kg,23-33cm,"Lovely, docile, lively",1. 30 minutes of exercise per day; 2-Brush the coat three times a week. 3 Regularly trim your hair to keep it clean,"Patellar dislocation, cataracts, skin allergies",toy,small,4,3,2,Yes
Barley Town Dog (spotted dog),Dalmatian,"Yugoslav medium-sized dog, with white fur and black spots, lively personality, good at pulling carts.",Yugoslavia,10-13 years,20-32Kg,56-61cm,"Lively, smart, loyal","1. 2 hours of exercise per day, suitable for running; 2-Brush short hair once a week. 3 Early training to avoid excessive excitement","hip dysplasia, deafness (high incidence), uric acid stones",NON-sporting,medium,4,2,5,Yes
Finnish Pomeranian hair dog,Finnish Spitz,"Finnish national dog, with golden fur, lively and agile personality, good at hunting birds.",Finland,12-15 years,7-10Kg,38-48cm,"Lively, sharp, loyal",1. 1.5 hours of exercise per day; 2-Brush the coat twice a week. 3 Correct the habit of calling love and standardize behavior,"hip dysplasia, patellar dislocation, eye disease",hound,small,4,3,4,Yes
Dutch Lion Dog,Keeshond,"The Dutch medium-sized dog has thick fur and a lively and friendly personality, making it an excellent companion dog.",Netherlands,12-15 years,14-18Kg,43-48cm,"Lively, smart, family","1. 1.5 hours of exercise per day; 2-Brush the coat 2-3 times a week, increasing the frequency during the shedding period. 3 Early training to avoid barking","hip dysplasia, progressive retinal atrophy, thyroid disease",NON-sporting,medium,4,4,3,Yes
Samoyed (white),Samoyed,"Siberian sled dog, with thick white fur, smiling face, and lively personality.",Russia,12-14 years,16-30Kg,48-60cm,"Lively, family, cheerful",1. 2 hours of exercise per day; 2-Brush the thick coat three times a week. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, progressive retinal atrophy, thyroid disease",working,medium,3,5,4,Yes
"Siberian sled dog (husky, red)",Siberian Husky (Red),"The red-haired Husky has a similar personality to the black and white variant, making it more unique.",Russia,12-15 years,16-27Kg,50-60cm,"Lively, mischievous, family","1.-2.5 hours of exercise per day, including running. 2-Brush the coat 2-3 times a week. 3 .Leave the dog to prevent getting lost","hip dysplasia, cataracts, skin allergies",working,medium,3,4,5,Yes
Alaskan Sled Dog (Gray),Alaskan Malamute (Gray),"Gray-haired Alaska, large in size, calm in character.",United States,10-12 years,34-38Kg,58-64cm,"Steady, loyal, gentle",1. 2. 5 hours of exercise per day; 2-Brush the thick coat three times a week. 3 Control diet to prevent obesity,"Poor hip joint development, poor elbow development, gastric torsion",working,large,3,5,5,Yes
Alaskan Sled Dog (red),Alaskan Malamute (Red),The red fur variant has a similar personality to the gray variant and is more domineering.,United States,10-12 years,34-38Kg,58-64cm,"Domineering, loyal, gentle",1. 2.5 hours of exercise per day; 2-Brush the coat three times a week. 3 Avoid high temperatures and prevent heatstroke,"Poor hip development, poor elbow development, skin problems",working,large,3,5,5,Yes
The Greenland Dog,Greenland Dog,"Greenland sled dog, with thick coat, adapts to extreme cold, and has a tough character.",Greenland,12-15 years,20-30Kg,55-60cm,"Tough, loyal, lively",1. 3 hours of exercise per day; 2-Brush the thick coat 2-3 times a week. 3. Adapt to the cold and prevent heatstroke in summer,"hip dysplasia, progressive retinal atrophy, skin problems",working,medium,3,4,5,Yes
Canadian Eskimo Dog,Canadian Eskimo Dog,Canadian large sled dog with thick coat and strong sled pulling ability.,Canada,10-15 years,30-40Kg,58-70cm,"Steady, loyal, tenacious",1. 2. 5 hours of exercise per day; 2-Brush the coat three times a week. 3 .Strict training to avoid being free,"Poor hip joint development, poor elbow development, gastric torsion",working,large,3,5,5,Yes
Alaskan Klykee,Alaskan Klee Kai,"Alaskan sled dog mini variant, small size, lively personality, suitable for companions.",United States,12-16 years,4-10Kg,33-43cm,"Lively, family, clingy",1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3 Avoid excessive indulgence and prevent willfulness,"hip dysplasia, progressive retinal atrophy, dental problems",working,small,3,4,3,Yes
German Doberman (blue),Doberman Pinscher (Blue),"The blue coat of Dupin has a similar personality to the black variant, making it more elegant.",Germany,10-13 years,30-40Kg,66-72cm,"Graceful, brave, loyal",1. 2 hours of exercise per day; 2-Brush short hair 1-2 times a week. 3 Regularly check the heart to prevent cardiomyopathy,"hip dysplasia, dilated cardiomyopathy, thyroid disease",working,large,5,2,5,No
German Doberman (red),Doberman Pinscher (Red),The reddish-brown Doberman has a brave and loyal personality and is an excellent guard dog.,Germany,10-13 years,30-40Kg,66-72cm,"Courage, loyalty, obedience","1. 2 hours of exercise per day, suitable for guard training; 2-Brush short hair once a week. 3 .Early tail and ear cut (optional)","hip dysplasia, dilated cardiomyopathy, progressive retinal atrophy",working,large,5,2,5,No
Rottweiler (Black),Rottweiler,"German large guard dog, black-brown color scheme, calm personality, extremely strong protection ability.",Germany,8-Ten years,35-60Kg,56-69cm,"Steady, loyal, brave",1. 2 hours of exercise per day; 2-Brush short hair once a week. 3 Strict socialization from an early age to avoid aggression,"hip dysplasia, elbow dysplasia, dilated cardiomyopathy",working,large,4,2,4,No
Casrow Dog,Cane Corso,"Italian large guard dog, short fur, calm personality, is a top guard dog.",Italy,10-12 years,40-50Kg,60-68cm,"Steady, loyal, vigilant",1. 2 hours of exercise per day; 2-Brush short hair once a week. 3 .Strict training to avoid over-aggression against strangers,"Poor hip joint development, poor elbow development, gastric torsion",working,large,3,2,4,No
Naples Mastiff,Neapolitan Mastiff,"Italian large Mastiff, with many wrinkles on the skin, calm and protective of the owner.",Italy,8-Ten years,50-70Kg,60-75cm,"calm, loyal, gentle (to the master)",1. Exercise for 1.5 hours a day to avoid excessive fatigue. 2. Clean the skin folds daily; 3 Control diet to prevent obesity,"Poor hip development, poor elbow development, heart problems",working,large,2,2,3,No
Bulldog Mastiff,Bullmastiff,"A hybrid breed of Bulldog and Mastiff, with a large body size, brave personality, and strong guarding ability.",United Kingdom,8-Ten years,45-60Kg,61-69cm,"Brave, loyal, steady",1. 1.5 hours of exercise per day; 2-Brush short hair once a week. 3 Socialize early and avoid attacking other dogs,"Poor hip development, poor elbow development, breathing problems",working,large,3,2,3,No
Great Dane (Black),Great Dane (Black),"One of the largest breeds of dogs, black fur, gentle personality, known as the ""gentle giant"".",Germany,7-Ten years,50-90Kg,71-86cm,"Docile, loyal, steady","1. Exercise for 1.5 hours a day, avoid strenuous exercise; 2-Brush short hair once a week. 3. Provide large space to avoid crowding","Poor hip joint development, poor elbow development, gastric torsion (high incidence)",working,large,3,2,3,Yes
Great Dane (yellow brown),Great Dane (Fawn),The yellow-brown fur variant is the most common Great Dane fur color.,Germany,7-Ten years,50-90Kg,71-86cm,"Docile, family, loyal",1. Take a slow walk for 1.5 hours a day. 2-Brush short hair once a week. 3 Regularly check the heart to prevent cardiomyopathy,"hip dysplasia, heart disease, stomach torsion",working,large,3,2,3,Yes
St. Bernard Dog,Saint Bernard,Swiss large rescue dog with thick fur and gentle personality.,Switzerland,8-Ten years,50-90Kg,65-90cm,"Docile, loyal, family",1. 1.5 hours of exercise per day; 2-Brush the thick coat 2-3 times a week. 3 Control diet to prevent obesity and joint problems,"Poor hip joint development, poor elbow development, gastric torsion",working,large,2,4,3,Yes
Bourne Mountain Dog,Bernese Mountain Dog,"Swiss large dog, black, brown, and white coat, gentle personality, short lifespan.",Switzerland,6-Eight years,36-50Kg,58-70cm,"Docile, family, loyal","1. Exercise for 1.5 hours a day, avoid strenuous exercise; 2-Brush the coat three times a week. 3. Regularly check for cancer, which is a high incidence","hip dysplasia, elbow dysplasia, cancer",working,large,4,3,4,Yes
Newfoundland Dogs,Newfoundland,"Canadian large water dog, thick and waterproof, good at swimming rescue.",Canada,8-Ten years,45-68Kg,66-71cm,"Docile, loyal, family","1. 2 hours of exercise daily, including swimming; 2-Brush the thick coat three times a week. 3 Regularly clean the ear canal to prevent infection","Poor hip development, poor elbow development, heart disease",working,large,3,4,4,Yes
Portuguese Water Dog,Portuguese Water Dog,"The Portuguese water dog, with curly fur, is skilled in water work and is President Obama's pet dog.",Portugal,10-14 years,16-27Kg,43-58cm,"Lively, smart, loyal","1. 2 hours of exercise per day, including swimming; 2 Regularly trim the curly hair; 3 Pay attention to intellectual training to prevent boredom","hip dysplasia, cataracts, thyroid disease",working,medium,4,3,5,Yes
Standard Poodle,Standard Poodle,Poodles have a standard body size and rank second in IQ. They are good at various trainings.,France,10-18 years,20-32Kg,38-60cm,"Smart, lively, loyal",1. 2 hours of exercise per day; 2-Trim the coat 1-2 times a week. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, cataracts, epilepsy",NON-sporting,medium,5,1,4,Yes
Mini Poodle,Miniature Poodle,"Mini-sized poodles, lively personality, suitable for apartment breeding.",France,12-15 years,6-9Kg,28-38cm,"Lively, clingy, smart",1. 1.5 hours of exercise per day; 2 Trim the coat once a week; 3 Avoid excessive indulgence and prevent willfulness,"Patellar dislocation, cataracts, dental problems",NON-sporting,small,5,1,3,Yes
Toy Poodle,Toy Poodle,"Toy-sized poodle, the smallest poodle variant, with a clingy personality.",France,12-15 years,3-6Kg,24-28cm,"Sticky, smart, docile",1. 1 hour of exercise per day; 2 Trim the coat once a week; 3 Pay attention to keeping warm and avoid cold,"Patellar dislocation, cataract, hypoglycemia",NON-sporting,small,5,1,2,Yes
Poodle (giant),Giant Poodle,"Giant poodles, large in size, gentle in character, suitable for family breeding.",France,10-15 years,30-35Kg,45-60cm,"Docile, smart, loyal",1. 2 hours of exercise per day; 2-Trim the coat 1-2 times a week. 3 Regularly check the joints to prevent injuries,"hip dysplasia, cataracts, skin allergies",NON-sporting,large,5,1,4,Yes
Bichon Dog,Bichon Frise,"French small toy dog, with white curly fur, gentle and lively personality, does not shed.",France,12-15 years,3-5Kg,23-30cm,"Docile, lively, family",1. 1 hour of exercise per day; 2 .Broom the curly coat twice a week; 3. Regularly trim hair to maintain shape,"Patellar dislocation, cataracts, skin allergies",toy,small,4,1,2,Yes
